tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2025-M-ITF-JAM-2025-001,M15 Kingston,Hard,32,15,20250106,402,211409,,,Guillaume Dalmasso ,U,,FRA,22.2,208649,,,Andrew Fenty,R,193,USA,24.8,6-2 6-3,3,SF,91,6,4,53,32,26,11,8,3,3,4,5,57,32,21,8,9,4,8,844,24,964,16
2025-M-ITF-JAM-2025-001,M15 Kingston,Hard,32,15,20250106,501,212251,,,Daniel Milavsky,U,,USA,23.3,211409,,,Guillaume Dalmasso ,U,,FRA,22.2,6-4 6-7(4) 7-5,3,F,193,7,7,121,76,61,21,17,9,11,8,8,102,55,45,25,17,5,9,935,17,844,24
2025-M-ITF-NOR-2025-001,M15 Oslo,Hard,32,15,20250106,105,209518,,,Tibo Colson,R,196,BEL,24.4,213707,,,Sebastian Eie,U,,NOR,,6-1 6-3,3,R32,60,16,3,45,28,25,9,8,2,2,2,3,56,39,22,5,8,4,8,642,48,,
2025-M-ITF-NOR-2025-001,M15 Oslo,Hard,32,15,20250106,110,208382,,,Herman Hoeyeraal,R,198,NOR,23.2,213708,,,Henrik Villanger,U,,NOR,,7-6(2) 6-2,3,R32,99,10,4,82,59,45,8,10,5,6,2,4,77,45,30,14,10,3,6,1599,2,,
2025-M-ITF-NOR-2025-001,M15 Oslo,Hard,32,15,20250106,113,210105,,,Martyn Pawelski,R,196,POL,20.1,207934,,,Philip Hjorth,U,,DEN,25.8,6-1 6-4,3,R32,65,4,3,43,26,23,7,8,0,1,1,6,48,23,12,10,9,3,8,644,48,832,25
2025-M-ITF-NOR-2025-001,M15 Oslo,Hard,32,15,20250106,106,200050,,,Finn Bass,R,180,GBR,25.2,212288,,,Vincent Marysko,R,193,GER,18.9,3-6 6-2 6-2,3,R32,114,15,2,74,45,38,15,12,3,4,7,6,90,50,36,16,13,6,10,1089,11,1185,8
2025-M-ITF-NOR-2025-001,M15 Oslo,Hard,32,15,20250106,103,209922,,,Max Westphal,R,183,FRA,21.5,210103,,,Luca Parenti,R,185,ITA,21.4,6-3 6-4,3,R32,83,7,3,72,43,33,17,10,5,5,0,2,54,30,24,9,9,3,5,,,1672,2
2025-M-ITF-NOR-2025-001,M15 Oslo,Hard,32,15,20250106,112,210142,,,Olaf Pieczkowski,R,183,POL,20.7,208864,,,Leyton Rivera,R,183,NOR,23.1,7-5 6-2,3,R32,104,6,3,66,44,29,9,10,10,13,2,1,63,35,19,12,10,5,11,627,51,1299,6
2025-M-ITF-NOR-2025-001,M15 Oslo,Hard,32,15,20250106,102,144813,,,Benjamin Hannestad,R,,DEN,27.8,213001,,,Mika Petkovic,U,,GER,18.0,2-6 7-6(1) 6-4,3,R32,124,7,6,95,57,41,20,15,8,12,7,10,99,57,45,14,15,4,7,1491,3,1322,5
2025-M-ITF-NOR-2025-001,M15 Oslo,Hard,32,15,20250106,104,209512,,,Tom Paris,R,191,FRA,22.3,207893,,,Daniel De Jonge,U,,NED,25.3,6-3 7-6(5),3,R32,90,4,1,73,52,36,16,11,2,2,7,5,58,33,28,13,10,0,1,688,41,1249,7
2025-M-ITF-NOR-2025-001,M15 Oslo,Hard,32,15,20250106,108,208083,,,Adam Heinonen,R,188,SWE,22.3,212849,,,Oliver Clark Anderson,U,,AUS,,6-2 6-2,3,R32,62,0,2,43,29,25,8,8,1,1,0,0,42,24,14,8,8,1,5,759,32,,
2025-M-ITF-NOR-2025-001,M15 Oslo,Hard,32,15,20250106,111,207431,,,Lewie Lane,R,183,GER,24.0,210065,,,Bekhan Atlangeriev,U,,RUS,23.8,6-1 6-3,3,R32,61,3,1,44,25,18,13,8,2,3,0,2,47,23,11,12,8,5,10,1296,6,,
2025-M-ITF-NOR-2025-001,M15 Oslo,Hard,32,15,20250106,101,207669,,,Robert Strombachs,R,191,LAT,25.3,206716,,,Lukas Hellum Lilleengen,R,180,NOR,24.1,6-3 5-7 6-3,3,R32,165,3,7,126,85,52,17,15,21,27,7,9,107,64,38,15,15,9,17,401,117,2114,1
2025-M-ITF-NOR-2025-001,M15 Oslo,Hard,32,15,20250106,109,127087,,,Dominik Recek,R,191,CZE,29.8,210623,,,Jakub Filip,R,,CZE,19.2,7-5 6-4,3,R32,95,9,3,61,33,26,14,11,2,4,2,6,74,43,28,14,11,10,14,1672,2,768,31
2025-M-ITF-NOR-2025-001,M15 Oslo,Hard,32,15,20250106,114,210091,,,Filip Pieczonka,L,,POL,20.7,208302,,,Nikola Slavic,R,,SWE,24.2,7-6(1) 7-5,3,R32,119,10,6,82,43,34,24,12,7,8,13,3,77,53,37,11,12,2,4,833,25,1403,4
2025-M-ITF-NOR-2025-001,M15 Oslo,Hard,32,15,20250106,116,211333,,,Vito Tonejc,R,191,CRO,25.5,144923,,,Louis Wessels,R,198,GER,26.3,6-4 6-4,3,R32,83,4,2,56,32,25,17,10,1,1,7,3,63,41,29,10,10,5,7,1226,7,620,52
2025-M-ITF-NOR-2025-001,M15 Oslo,Hard,32,15,20250106,107,211530,,,Tomasz Berkieta,R,191,POL,18.4,208554,,,Erik Grevelius,U,,SWE,24.5,7-6(4) 6-4,3,R32,91,18,3,61,43,38,12,11,1,1,2,5,76,44,34,15,11,5,6,929,18,1555,3
2025-M-ITF-NOR-2025-001,M15 Oslo,Hard,32,15,20250106,115,200276,,,Niklas Schell,R,191,GER,26.0,212269,,,Marc Majdandzic,U,,GER,19.9,6-4 4-6 6-4,3,R32,115,12,6,104,68,53,13,15,11,13,8,1,71,45,32,19,15,3,6,951,17,1375,5
2025-M-ITF-NOR-2025-001,M15 Oslo,Hard,32,15,20250106,201,207669,,,Robert Strombachs,R,191,LAT,25.3,144813,,,Benjamin Hannestad,R,,DEN,27.8,5-4 RET,3,R16,39,0,4,28,20,9,2,4,3,6,1,6,26,10,3,4,5,0,4,401,117,1491,3
2025-M-ITF-NOR-2025-001,M15 Oslo,Hard,32,15,20250106,205,208382,,,Herman Hoeyeraal,R,198,NOR,23.2,127087,,,Dominik Recek,R,191,CZE,29.8,3-6 7-6(4) 6-3,3,R16,149,15,5,111,62,46,25,16,6,9,4,3,87,53,44,13,14,1,3,1599,2,1672,2
2025-M-ITF-NOR-2025-001,M15 Oslo,Hard,32,15,20250106,202,209512,,,Tom Paris,R,191,FRA,22.3,209922,,,Max Westphal,R,183,FRA,21.5,6-3 3-6 6-2,3,R16,119,10,3,71,51,43,9,13,2,3,3,2,99,58,39,19,13,11,14,688,41,,
2025-M-ITF-NOR-2025-001,M15 Oslo,Hard,32,15,20250106,204,208083,,,Adam Heinonen,R,188,SWE,22.3,211530,,,Tomasz Berkieta,R,191,POL,18.4,7-5 2-6 6-3,3,R16,115,8,5,100,55,40,24,15,9,12,5,6,70,48,37,10,14,1,4,759,32,929,18
2025-M-ITF-NOR-2025-001,M15 Oslo,Hard,32,15,20250106,203,209518,,,Tibo Colson,R,196,BEL,24.4,200050,,,Finn Bass,R,180,GBR,25.2,3-6 6-2 6-2,3,R16,117,8,3,75,41,31,15,13,4,7,1,7,89,47,28,19,12,4,9,642,48,1089,11
2025-M-ITF-NOR-2025-001,M15 Oslo,Hard,32,15,20250106,206,210142,,,Olaf Pieczkowski,R,183,POL,20.7,207431,,,Lewie Lane,R,183,GER,24.0,6-7(6) 7-5 7-6(2),3,R16,204,8,3,129,86,54,29,18,7,11,4,10,128,79,52,20,18,8,13,627,51,1296,6
2025-M-ITF-NOR-2025-001,M15 Oslo,Hard,32,15,20250106,207,210091,,,Filip Pieczonka,L,,POL,20.7,210105,,,Martyn Pawelski,R,196,POL,20.1,6-3 6-3,3,R16,76,8,3,60,32,25,17,9,6,6,7,3,44,29,21,5,9,1,4,833,25,644,48
2025-M-ITF-NOR-2025-001,M15 Oslo,Hard,32,15,20250106,208,211333,,,Vito Tonejc,R,191,CRO,25.5,200276,,,Niklas Schell,R,191,GER,26.0,4-6 6-1 7-6(3),3,R16,130,13,1,79,56,46,16,15,1,2,10,7,104,68,51,12,14,12,14,1226,7,951,17
2025-M-ITF-NOR-2025-001,M15 Oslo,Hard,32,15,20250106,303,210142,,,Olaf Pieczkowski,R,183,POL,20.7,208382,,,Herman Hoeyeraal,R,198,NOR,23.2,7-6(3) 6-0,3,QF,89,3,0,53,30,24,15,9,2,3,3,8,67,38,19,14,9,6,10,627,51,1599,2
2025-M-ITF-NOR-2025-001,M15 Oslo,Hard,32,15,20250106,304,210091,,,Filip Pieczonka,L,,POL,20.7,211333,,,Vito Tonejc,R,191,CRO,25.5,7-5 6-2,3,QF,92,5,5,52,25,23,15,10,0,1,2,2,75,53,28,12,10,6,10,833,25,1226,7
2025-M-ITF-NOR-2025-001,M15 Oslo,Hard,32,15,20250106,301,209512,,,Tom Paris,R,191,FRA,22.3,207669,,,Robert Strombachs,R,191,LAT,25.3,6-2 6-2,3,QF,70,6,1,44,31,24,8,8,0,0,3,2,46,27,16,7,8,0,4,688,41,401,117
2025-M-ITF-NOR-2025-001,M15 Oslo,Hard,32,15,20250106,302,209518,,,Tibo Colson,R,196,BEL,24.4,208083,,,Adam Heinonen,R,188,SWE,22.3,7-6(6) 6-0,3,QF,94,10,0,58,38,32,10,9,0,1,3,0,86,56,32,13,9,9,13,642,48,759,32
2025-M-ITF-NOR-2025-001,M15 Oslo,Hard,32,15,20250106,401,209512,,,Tom Paris,R,191,FRA,22.3,209518,,,Tibo Colson,R,196,BEL,24.4,6-1 6-2,3,SF,78,4,5,52,29,25,10,8,1,1,6,2,54,22,17,9,7,9,13,688,41,642,48
2025-M-ITF-NOR-2025-001,M15 Oslo,Hard,32,15,20250106,501,210142,,,Olaf Pieczkowski,R,183,POL,20.7,209512,,,Tom Paris,R,191,FRA,22.3,7-6(7) 7-5,3,F,125,8,1,87,53,38,16,12,5,7,8,5,86,58,39,12,12,6,9,627,51,688,41
2025-M-ITF-FRA-2025-001,M25 Hazebrouck,Hard,32,25,20250106,110,208265,,,Pierre Delage,R,198,FRA,23.9,126156,,,Antoine Hoang,R,183,FRA,29.1,4-6 6-4 6-3,3,R32,151,10,7,89,57,42,11,15,4,9,2,7,101,72,41,15,14,7,13,1058,12,621,51
2025-M-ITF-FRA-2025-001,M25 Hazebrouck,Hard,32,25,20250106,111,209258,,,Alexandre Reco,R,185,FRA,25.6,207535,,,Marlon Vankan,R,170,GER,24.3,6-2 2-0,3,R32,53,2,0,26,16,12,7,5,1,2,0,2,37,23,11,4,5,3,7,783,30,725,36
2025-M-ITF-FRA-2025-001,M25 Hazebrouck,Hard,32,25,20250106,115,207239,,,Nikolay Vylegzhanin,R,178,RUS,24.7,210447,,,Leo Raquillet,R,191,FRA,19.2,6-1 6-3,3,R32,73,1,2,47,29,20,13,8,2,3,1,6,59,33,15,11,8,2,7,531,71,1150,9
2025-M-ITF-FRA-2025-001,M25 Hazebrouck,Hard,32,25,20250106,116,209182,,,Toby Alex Kodat,R,178,USA,21.9,209088,,,Quinn Vandecasteele,R,191,USA,22.3,6-2 6-4,3,R32,72,0,1,46,32,25,8,9,1,2,3,2,52,32,19,8,9,0,4,340,149,662,45
2025-M-ITF-FRA-2025-001,M25 Hazebrouck,Hard,32,25,20250106,109,200385,,,Dan Added,R,183,FRA,25.7,209910,,,Szymon Kielan,R,196,POL,22.1,6-4 6-1,3,R32,69,2,0,39,22,16,9,8,0,2,1,4,54,28,14,9,9,3,9,479,84,1190,8
2025-M-ITF-FRA-2025-001,M25 Hazebrouck,Hard,32,25,20250106,112,210338,,,Arthur Gea,R,180,FRA,20.0,212219,,,Mees Rottgering,L,180,NED,17.5,0-6 7-5 6-0,3,R32,126,0,4,71,43,28,13,12,7,12,3,5,82,47,29,13,12,4,10,383,127,868,21
2025-M-ITF-FRA-2025-001,M25 Hazebrouck,Hard,32,25,20250106,113,206750,,,Daniil Glinka,L,188,EST,24.6,104932,,,Kenny De Schepper,L,203,FRA,37.6,6-3 6-1,3,R32,77,3,2,49,26,22,11,8,5,6,3,5,61,36,19,8,8,8,13,491,80,650,47
2025-M-ITF-FRA-2025-001,M25 Hazebrouck,Hard,32,25,20250106,114,206646,,,Louis Van Herck,R,,LUX,25.5,209985,,,Amaury Raynel,R,180,FRA,22.5,7-6(4) 6-4,3,R32,107,6,2,88,60,44,9,11,7,9,2,4,71,43,28,13,11,1,4,1749,2,811,27
2025-M-ITF-FRA-2025-001,M25 Hazebrouck,Hard,32,25,20250106,101,106167,,,Joris De Loore,R,191,BEL,31.7,210254,,,Adrien Gobat,R,175,FRA,23.4,6-3 6-1,3,R32,82,7,0,52,36,28,9,8,6,6,0,4,54,31,17,11,8,4,8,328,153,942,17
2025-M-ITF-FRA-2025-001,M25 Hazebrouck,Hard,32,25,20250106,103,205842,,,Arthur Reymond,L,180,FRA,25.7,207200,,,Cyril Vandermeersch,R,180,FRA,25.6,7-5 6-0,3,R32,82,5,0,56,31,22,11,9,4,6,1,3,50,30,15,6,9,3,9,597,57,869,21
2025-M-ITF-FRA-2025-001,M25 Hazebrouck,Hard,32,25,20250106,104,106288,,,Mathias Bourgue,R,188,FRA,30.9,202128,,,Louis Dussin,R,178,FRA,25.5,6-3 6-4,3,R32,101,6,1,71,40,26,24,10,6,6,1,2,51,35,25,8,9,0,2,475,85,624,51
2025-M-ITF-FRA-2025-001,M25 Hazebrouck,Hard,32,25,20250106,106,210604,,,Loann Massard ,U,,FRA,19.4,206905,,,Louis Herman,U,,BEL,23.6,6-2 6-2,3,R32,76,4,3,54,29,18,19,8,3,3,2,4,46,25,11,11,8,2,6,690,41,1505,3
2025-M-ITF-FRA-2025-001,M25 Hazebrouck,Hard,32,25,20250106,108,131911,,,Lucas Poullain,R,175,FRA,29.0,208147,,,Alexandre Aubriot,R,188,FRA,25.5,6-1 6-1,3,R32,61,0,2,36,24,21,8,7,0,0,0,4,47,32,18,1,7,5,10,453,93,977,15
2025-M-ITF-FRA-2025-001,M25 Hazebrouck,Hard,32,25,20250106,102,208168,,,Nicolas Tepmahc,R,188,FRA,23.6,212769,,,Leo Lagarrigue,U,,FRA,18.3,6-4 7-6(2),3,R32,107,1,2,77,57,41,7,11,4,7,5,4,83,43,32,12,11,7,11,1335,5,1360,5
2025-M-ITF-FRA-2025-001,M25 Hazebrouck,Hard,32,25,20250106,105,209247,,,Axel Garcian,R,178,FRA,22.5,207884,,,Arthur Bouquier,R,188,FRA,24.0,3-6 6-2 6-1,3,R32,105,5,4,72,37,26,20,12,7,10,6,5,77,43,26,14,12,6,12,790,29,405,114
2025-M-ITF-FRA-2025-001,M25 Hazebrouck,Hard,32,25,20250106,107,211898,,,Mae Malige,R,,FRA,18.7,149108,,,Loic Namigandet Tenguere,U,,FRA,26.0,7-5 6-2,3,R32,109,1,5,75,32,22,22,10,4,7,1,9,67,33,19,12,10,2,8,641,48,1231,7
2025-M-ITF-FRA-2025-001,M25 Hazebrouck,Hard,32,25,20250106,201,106167,,,Joris De Loore,R,191,BEL,31.7,208168,,,Nicolas Tepmahc,R,188,FRA,23.6,6-4 6-1,3,R16,72,4,0,45,32,27,9,9,0,0,2,1,60,36,23,12,8,4,7,328,153,1335,5
2025-M-ITF-FRA-2025-001,M25 Hazebrouck,Hard,32,25,20250106,202,106288,,,Mathias Bourgue,R,188,FRA,30.9,205842,,,Arthur Reymond,L,180,FRA,25.7,7-6(5) 6-7(4) 6-1,3,R16,158,6,0,89,62,51,19,15,3,3,7,2,106,58,42,26,16,2,5,475,85,597,57
2025-M-ITF-FRA-2025-001,M25 Hazebrouck,Hard,32,25,20250106,206,210338,,,Arthur Gea,R,180,FRA,20.0,209258,,,Alexandre Reco,R,185,FRA,25.6,6-1 6-2,3,R16,82,4,1,51,25,19,14,8,0,1,0,1,51,27,13,9,7,7,12,383,127,783,30
2025-M-ITF-FRA-2025-001,M25 Hazebrouck,Hard,32,25,20250106,207,206750,,,Daniil Glinka,L,188,EST,24.6,206646,,,Louis Van Herck,R,,LUX,25.5,7-6(2) 6-4,3,R16,106,6,3,72,39,31,18,11,5,7,11,2,74,47,30,13,11,6,9,491,80,1749,2
2025-M-ITF-FRA-2025-001,M25 Hazebrouck,Hard,32,25,20250106,208,209182,,,Toby Alex Kodat,R,178,USA,21.9,207239,,,Nikolay Vylegzhanin,R,178,RUS,24.7,6-3 7-6(7),3,R16,140,1,2,84,54,34,15,11,6,9,1,5,87,53,30,14,10,7,11,340,149,531,71
2025-M-ITF-FRA-2025-001,M25 Hazebrouck,Hard,32,25,20250106,203,209247,,,Axel Garcian,R,178,FRA,22.5,210604,,,Loann Massard ,U,,FRA,19.4,4-6 6-4 6-3,3,R16,143,2,5,78,44,27,15,14,3,9,3,4,97,63,35,10,15,7,15,790,29,690,41
2025-M-ITF-FRA-2025-001,M25 Hazebrouck,Hard,32,25,20250106,204,211898,,,Mae Malige,R,,FRA,18.7,131911,,,Lucas Poullain,R,175,FRA,29.0,5-7 6-4 6-3,3,R16,175,1,4,98,59,37,16,15,8,14,1,1,108,68,38,16,16,7,15,641,48,453,93
2025-M-ITF-FRA-2025-001,M25 Hazebrouck,Hard,32,25,20250106,205,208265,,,Pierre Delage,R,198,FRA,23.9,200385,,,Dan Added,R,183,FRA,25.7,2-6 6-3 6-3,3,R16,107,9,3,84,52,34,19,13,5,8,5,1,66,38,28,15,13,0,4,1058,12,479,84
2025-M-ITF-FRA-2025-001,M25 Hazebrouck,Hard,32,25,20250106,301,106167,,,Joris De Loore,R,191,BEL,31.7,106288,,,Mathias Bourgue,R,188,FRA,30.9,6-3 6-1,3,QF,68,7,1,47,33,28,7,8,3,3,6,4,52,33,21,5,8,0,4,328,153,475,85
2025-M-ITF-FRA-2025-001,M25 Hazebrouck,Hard,32,25,20250106,302,211898,,,Mae Malige,R,,FRA,18.7,209247,,,Axel Garcian,R,178,FRA,22.5,5-7 6-3 6-4,3,QF,171,0,1,104,67,41,19,16,4,9,3,3,131,85,45,23,15,17,23,641,48,790,29
